category,level,year,name,id,credits,professor,department,sub-category,language,location,remark
Elective Subject for Major,Graduate,1,Studies in Korean Language Expression,705.618 001,3,Lee Sungjun,Department of Korean Language Education,,Korean,"[{'time': 'Mon.(10:00~12:50)', 'place': '11-214'}]", 
Elective Subject for Major,Undergraduate,2,Advanced Calculus 2,715.202 001,3,Sang-Gyun Youn,Department of  Mathematics Education,,Korean,"[{'time': 'Tue.(14:00~15:15)', 'place': '10-1-202'}, {'time': 'Thur.(14:00~15:15)', 'place': '10-1-202'}]", 
Elective Subject for Major,Graduate,0,Studies in Korean Foreign Policy,216B.618 001,3,Shin Wookhee,International Relations Major,,Korean,"[{'time': 'Wed.(09:00~11:50)', 'place': '16-339'}]", 
Elective Subject for Major,Undergraduate,3,Korean Thoughts on Arts,115.420A 001,3,Herin Jung,Department of Aesthetics,,Korean,"[{'time': 'Thur.(14:00~16:50)', 'place': '6-108'}]", 
Elective Subject for Major,Undergraduate,3,Korean Foreign Policy,216B.336 001,3,Shin Wookhee,International Relations Major,,Korean,"[{'time': 'Tue.(09:00~11:50)', 'place': '16-111'}]", 
Elective Subject for Major,Graduate,1,Studies in Korean Music Theories,661.561 001,3,Song Jiwon,Department of Music,,Korean,"[{'time': 'Mon.(14:00~16:50)', 'place': '53-107'}]", 
Elective Subject for Major,Graduate,1,Methodology of Korean Traditional Musicology,650.564A 001,3,,Department of Music,,Korean,"[{'time': 'Mon.(17:00~19:50)', 'place': '54-210'}]", 
Elective Subject for Major,Graduate,1,Korean Visual Culture and Art Education,704.523A 001,3,Kim Hyungsook,Interdisciplinary Program in Art Education,Education,Korean,"[{'time': 'Thur.(14:00~16:50)', 'place': '11-109'}]", 
Elective Subject for Major,Undergraduate,4,Buddhist Art in Korea,116.424A 001,3,Ha Jungmin,Art History Major,,Korean,"[{'time': 'Tue.(11:00~13:50)', 'place': '4-308'}]", 
Elective Subject for Major,Graduate,0,Studies in Korean Traditional Theatrical Arts,135.503 001,3,Cho  Hyunsoul,Interdisciplinary Program in Performing Arts Studies,,Korean,"[{'time': 'Wed.(15:30~18:20)', 'place': '1-201'}]", 
Elective Subject for Major,Undergraduate,2,Medieval History of Korea,712.311 001,3,Choo Myung Yeop,Department of History Education,,Korean,"[{'time': 'Tue.(14:00~16:50)', 'place': '12-411'}]", 
Elective Subject for Major,Undergraduate,2,Geography of Korea,208.302 001,3,Lee Jeongman,Department of Geography,,Korean,"[{'time': 'Mon.(11:00~12:15)', 'place': '16-M209'}, {'time': 'Wed.(11:00~12:15)', 'place': '16-M209'}]", 
Elective Subject for Major,Graduate,0,Studies in Korean Religious Texts,114.721 001,3,Choi Jong Seong,Department of Religious Studies,,Korean,"[{'time': 'Fri.(10:00~12:50)', 'place': '5-214'}]", 
Requisite Subject for Major,Undergraduate,3,Religions in Korea,114.322 001,3,,Department of Religious Studies,,Korean,"[{'time': 'Thur.(15:30~18:20)', 'place': '7-218'}]", 
Elective Subject for Major,Undergraduate,3,Government and Politics of Korea,216A.304 001,3,Kang Won Taek,Political Science Major,,Korean,"[{'time': 'Wed.(10:00~12:50)', 'place': '83-505'}]", 
Elective Subject for Major,Undergraduate,2,Contemporary History of the Korea,712.317 001,3,Kim Tae Woong,Department of History Education,,Korean,"[{'time': 'Wed.(14:00~16:50)', 'place': '10-1-507'}]", 
Elective Subject for Major,Undergraduate,2,Korean Dance 2,654.2501A 001,2,Shim Sook Kyung,Department of Korean Music,,Korean,"[{'time': 'Fri.(13:00~14:50)', 'place': '54-113'}]", 
Elective Subject for Major,Undergraduate,2,Theories in Teaching Sino-Korean Literature,705.219A 001,3,Kim Jongcheol,Department of Korean Language Education,,Korean,"[{'time': 'Tue.(14:00~16:50)', 'place': '12-406'}]", 
Elective Subject for Major,Graduate,0,Topics in Contemporary Korean History,109.684 001,3,Chung Yong Wook,Korean History Major,,Korean,"[{'time': 'Tue.(10:00~12:50)', 'place': '14-502'}]", 
Elective Subject for Major,Undergraduate,2,Theories in Teaching Modern Korean Poetry,705.414 001,3,Park Juhyeong,Department of Korean Language Education,,Korean,"[{'time': 'Tue.(10:00~12:50)', 'place': '9-108'}]", 
Elective Subject for Major,Undergraduate,3,Theories in Teaching Modern Korean Prose,705.322 001,3,Woo Shinyoung,Department of Korean Language Education,,Korean,"[{'time': 'Wed.(10:00~12:50)', 'place': '10-1-501'}]", 
Elective Subject for Major,Graduate,1,Studies in Korean Painting,116.629 001,3,Kyuhee Cho,Art History Major,,Korean,"[{'time': 'Thur.(12:30~15:20)', 'place': '14-322'}]", 
Elective Subject for Major,Graduate,0,Functional Analysis 2,3341.604 001,3,Gerald  Trutnau,Department of Mathematical Sciences,,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '25-101'}, {'time': 'Thur.(14:00~15:15)', 'place': '25-101'}]",ⓔ
